"","stimulus","option","eyewitness1","eyewitness2","category"
"1",1,1,6.01,3.83,"target_3opt"
"2",1,2,5.18,5.04,"target_3opt"
"3",1,3,4.01,6.1,"target_3opt"
"4",2,1,5.95,4.17,"target_3opt"
"5",2,2,5.01,5.03,"target_3opt"
"6",2,3,3.95,6.1,"target_3opt"
"7",3,1,5.96,4,"target_3opt"
"8",3,2,5.07,4.97,"target_3opt"
"9",3,3,3.84,5.82,"target_3opt"
"10",4,1,5.99,4.07,"target_3opt"
"11",4,2,4.94,5.01,"target_3opt"
"12",4,3,3.94,5.93,"target_3opt"
"13",5,1,6.01,4.03,"target_3opt"
"14",5,2,4.93,4.94,"target_3opt"
"15",5,3,3.7,5.95,"target_3opt"
"16",6,1,5.95,4.02,"target_3opt"
"17",6,2,5.04,4.9,"target_3opt"
"18",6,3,3.78,5.84,"target_3opt"
"19",7,1,6.06,3.99,"target_3opt"
"20",7,2,5.07,4.98,"target_3opt"
"21",7,3,3.66,5.81,"target_3opt"
"22",8,1,6.05,4,"target_3opt"
"23",8,2,4.9,4.86,"target_3opt"
"24",8,3,3.74,5.73,"target_3opt"
"25",9,1,6.02,3.94,"target_3opt"
"26",9,2,4.86,5.12,"target_3opt"
"27",9,3,3.79,5.7,"target_3opt"
"28",10,1,5.85,4,"target_3opt"
"29",10,2,5,4.99,"target_3opt"
"30",10,3,3.7,5.67,"target_3opt"
"31",11,1,6.02,3.92,"target_3opt"
"32",11,2,4.99,4.91,"target_3opt"
"33",11,3,3.66,5.55,"target_3opt"
"34",12,1,5.9,3.97,"target_3opt"
"35",12,2,4.93,4.95,"target_3opt"
"36",12,3,3.71,5.48,"target_3opt"
"37",13,1,6.02,4.08,"target_3opt"
"38",13,2,5.04,4.9,"target_3opt"
"39",13,3,3.52,5.45,"target_3opt"
"40",14,1,6.1,4.11,"target_3opt"
"41",14,2,4.7,4.91,"target_3opt"
"42",14,3,3.56,5.31,"target_3opt"
"43",15,1,6,4,"target_3opt"
"44",15,2,4.95,4.84,"target_3opt"
"45",15,3,3.49,5.34,"target_3opt"
"46",16,1,6.1,4.07,"target_3opt"
"47",16,2,4.88,4.76,"target_3opt"
"48",16,3,3.52,5.32,"target_3opt"
"49",17,1,6.04,3.82,"target_3opt"
"50",17,2,4.66,4.69,"target_3opt"
"51",17,3,3.38,5.37,"target_3opt"
"52",18,1,6.05,4.02,"target_3opt"
"53",18,2,4.72,4.97,"target_3opt"
"54",18,3,3.38,5.31,"target_3opt"
"55",19,1,5.9,4.01,"target_3opt"
"56",19,2,4.9,4.75,"target_3opt"
"57",19,3,3.41,5.27,"target_3opt"
"58",20,1,6,4.01,"target_3opt"
"59",20,2,4.63,4.6,"target_3opt"
"60",20,3,3.39,5.26,"target_3opt"
