"","stimulus","option","eyewitness1","eyewitness2","category"
"1",1,1,4.72,4.29,"filler_4opt"
"2",1,2,1.62,0.93,"filler_4opt"
"3",1,3,2.16,1.62,"filler_4opt"
"4",1,4,9.82,9.17,"filler_4opt"
"5",2,1,7.83,5.02,"filler_4opt"
"6",2,2,2.04,0.47,"filler_4opt"
"7",2,3,7.41,6.68,"filler_4opt"
"8",2,4,7.9,4.97,"filler_4opt"
"9",3,1,3.29,3.47,"filler_4opt"
"10",3,2,0.16,6.7,"filler_4opt"
"11",3,3,7.24,1.04,"filler_4opt"
"12",3,4,0.64,1.34,"filler_4opt"
"13",4,1,6.92,3.59,"filler_4opt"
"14",4,2,4.49,1.79,"filler_4opt"
"15",4,3,7.35,6.67,"filler_4opt"
"16",4,4,5.17,5.71,"filler_4opt"
"17",5,1,8.75,2.9,"filler_4opt"
"18",5,2,9.17,9.15,"filler_4opt"
"19",5,3,5.42,8.61,"filler_4opt"
"20",5,4,8.87,9.87,"filler_4opt"
"21",6,1,1.39,8.4,"filler_4opt"
"22",6,2,2.05,1.35,"filler_4opt"
"23",6,3,6.12,2.68,"filler_4opt"
"24",6,4,2.99,6.72,"filler_4opt"
"25",7,1,4.66,7.67,"filler_4opt"
"26",7,2,8.69,4.08,"filler_4opt"
"27",7,3,9.35,0.04,"filler_4opt"
"28",7,4,3.73,2.03,"filler_4opt"
"29",8,1,8.36,9,"filler_4opt"
"30",8,2,0.83,0.19,"filler_4opt"
"31",8,3,7.41,4.7,"filler_4opt"
"32",8,4,2.96,4.55,"filler_4opt"
"33",9,1,5.67,4.01,"filler_4opt"
"34",9,2,3.87,2.01,"filler_4opt"
"35",9,3,8.79,5.12,"filler_4opt"
"36",9,4,2.49,8.43,"filler_4opt"
"37",10,1,2.24,4.44,"filler_4opt"
"38",10,2,1.09,4.71,"filler_4opt"
"39",10,3,8.95,9.17,"filler_4opt"
"40",10,4,5.42,0.88,"filler_4opt"
"41",11,1,4.81,5.75,"filler_4opt"
"42",11,2,1.99,8.44,"filler_4opt"
"43",11,3,2.69,9.86,"filler_4opt"
"44",11,4,7.53,7.77,"filler_4opt"
"45",12,1,4.55,3.74,"filler_4opt"
"46",12,2,5.05,8.55,"filler_4opt"
"47",12,3,8.7,1.19,"filler_4opt"
"48",12,4,3.28,0.73,"filler_4opt"
"49",13,1,4.11,7.23,"filler_4opt"
"50",13,2,8.36,3.76,"filler_4opt"
"51",13,3,1.2,3.96,"filler_4opt"
"52",13,4,7.82,9.32,"filler_4opt"
"53",14,1,0.09,7.15,"filler_4opt"
"54",14,2,2.71,5.49,"filler_4opt"
"55",14,3,9.72,0.66,"filler_4opt"
"56",14,4,1.31,7.61,"filler_4opt"
"57",15,1,3.3,6.95,"filler_4opt"
"58",15,2,4.83,1.64,"filler_4opt"
"59",15,3,1.78,9.11,"filler_4opt"
"60",15,4,2.07,8.32,"filler_4opt"
"61",16,1,3.87,9.03,"filler_4opt"
"62",16,2,1.02,4.28,"filler_4opt"
"63",16,3,4.08,8.84,"filler_4opt"
"64",16,4,8.34,2.74,"filler_4opt"
"65",17,1,4.35,6.13,"filler_4opt"
"66",17,2,5.43,2.29,"filler_4opt"
"67",17,3,8.85,2.93,"filler_4opt"
"68",17,4,2.22,6.81,"filler_4opt"
"69",18,1,1.09,4.09,"filler_4opt"
"70",18,2,6.59,2.41,"filler_4opt"
"71",18,3,1.77,2.78,"filler_4opt"
"72",18,4,6.54,5.07,"filler_4opt"
"73",19,1,4.24,2.52,"filler_4opt"
"74",19,2,0.09,1.72,"filler_4opt"
"75",19,3,7.58,0.28,"filler_4opt"
"76",19,4,1.45,0.65,"filler_4opt"
"77",20,1,2.7,1,"filler_4opt"
"78",20,2,5.87,1.88,"filler_4opt"
"79",20,3,1.17,7.97,"filler_4opt"
"80",20,4,9.54,2.99,"filler_4opt"
